Date,Symbol,Dir,Filled,Result,Trigger,Stop,Exit,Qty,Gross,Net,R,rvol5,Source
2026-06-03,AARTIIND,S,Y,exited at 15:15,464.3,471.45,464.05,121,30,-32,-0.04,,recorded
2026-06-03,ADANIPORTS,S,Y,exited at 15:15,1822.5,1840,1804.9,30,528,468,0.89,,recorded
2026-06-03,ANGELONE,S,Y,exited at 15:15,337.05,343.35,334.35,158,427,368,0.37,,recorded
2026-06-03,HDFCAMC,S,Y,exited at 15:15,2546,2583.6,2509.5,22,803,741,0.90,,recorded
2026-06-03,TATACHEM,S,Y,exited at 15:15,728.75,740,719.7,77,697,635,0.73,,recorded
2026-06-04,OFSS,L,Y,exited at 15:15,9913,9775,10099,5,930,875,1.27,,recorded
2026-06-04,TITAGARH,L,Y,exited at 15:15,857,847.8,865.55,65,556,494,0.83,,recorded
2026-06-04,VOLTAS,L,Y,exited at 15:15,1277.9,1218,1286.7,16,141,118,0.12,,recorded
2026-06-04,IIFL,L,Y,exited at 15:15,505.95,495.65,530.2,97,2352,2298,2.30,,recorded
2026-06-04,BLUESTARCO,L,Y,exited at 15:15,1628,1569.6,1609.1,17,-321,-352,-0.35,,recorded
2026-06-05,ABCAPITAL,L,Y,exited at 15:15,356.9,352.9,357.95,157,165,103,0.16,,recorded
2026-06-05,BAJFINANCE,L,Y,exited at 15:15,885.9,874,891.35,63,343,282,0.38,,recorded
2026-06-05,LTF,L,Y,exited at stoploss,270.6,267.5,267.5,207,-642,-703,-1.10,,recorded
2026-06-05,YESBANK,L,Y,exited at 15:15,23,22,23.29,1000,290,265,0.26,,recorded
2026-06-05,AMBUJACEM,S,Y,exited at 15:15,428,430.45,417.45,131,1382,1320,4.11,,recorded
2026-06-05,HINDZINC,S,Y,exited at 15:15,597.1,605.55,567.4,94,2792,2730,3.44,,recorded
2026-06-05,PATANJALI,S,Y,exited at 15:15,424.5,428.4,420.15,132,574,513,1.00,,recorded
2026-06-05,PNBHOUSING,L,Y,exited at 15:15,1005.5,988.2,999.2,55,-346,-407,-0.43,,recorded
2026-06-08,ADANIENSOL,L,Y,exited at 15:15,1587.1,1535.1,1569.3,19,-338,-371,-0.38,,recorded
2026-06-08,TITAGARH,L,Y,exited at 15:15,848.4,820.45,836.65,35,-411,-444,-0.45,,recorded
2026-06-08,TRENT,L,Y,exited at 15:15,2753.7,2719.8,2725.4,20,-566,-627,-0.92,,recorded
2026-06-08,VBL,L,Y,exited at 15:15,518.3,511.5,521.75,108,373,311,0.42,,recorded
2026-06-08,VOLTAS,L,Y,exited at 15:15,1288,1270,1274.7,43,-572,-633,-0.82,,recorded
2026-06-08,ALKEM,L,Y,exited at 15:15,5259.5,5175.5,5358.5,10,990,932,1.11,,recorded
2026-06-08,FORTIS,L,Y,exited at 15:15,978.7,954.15,989.45,40,430,387,0.39,,recorded
2026-06-09,OFSS,S,Y,exited at 15:15,9705.5,9862,9668.5,5,185,132,0.17,,recorded
2026-06-09,NATIONALUM,S,Y,exited at stoploss,375.05,381.5,381.5,149,-961,-1023,-1.06,,recorded
2026-06-10,JSWSTEEL,L,Y,exited at 15:15,1266,1252.5,1267,44,44,-17,-0.03,,recorded
2026-06-10,DMART,L,Y,exited at stoploss,4132,4078.4,4078.4,13,-697,-756,-1.08,,recorded
2026-06-10,PAYTM,L,Y,exited at 15:15,1074.8,1063,1065.7,52,-473,-535,-0.87,,recorded
2026-06-10,PIDILITIND,L,Y,exited at 15:15,1512.8,1482.9,1505.7,33,-234,-289,-0.29,,recorded
2026-06-11,ICICIBANK,L,Y,exited at 15:15,1302.5,1286.5,1317.8,43,658,596,0.87,,recorded
2026-06-11,JSL,L,Y,exited at 15:15,661.5,652.25,681.25,85,1679,1617,2.06,,recorded
2026-06-11,KEI,L,Y,exited at 15:15,5166.5,5118,5187,10,205,148,0.31,,recorded
2026-06-11,SOLARINDS,L,Y,exited at stoploss,17770,17555,17555,3,-645,-704,-1.09,,recorded
2026-06-11,VEDL,L,Y,exited at 15:15,300.7,292.8,305.05,126,548,506,0.51,,recorded
2026-06-11,IDEA,L,N,no fill (never triggered),15,13,,,,,,,recorded
2026-06-11,TORNTPHARM,L,Y,exited at 15:15,4532.8,4431.1,4568.8,9,324,279,0.30,,recorded
2026-06-11,IRCTC,L,Y,exited at 15:15,517,507.4,520.2,104,333,274,0.27,,recorded
2026-06-12,CYIENT,S,Y,exited at 15:15,871.5,883.45,877.5,64,-384,-445,-0.58,8.36,recorded
2026-06-12,TATACHEM,L,Y,exited at stoploss,762.75,751.1,751.1,73,-850,-912,-1.07,3.41,recorded
2026-06-12,BALKRISIND,S,Y,exited at stoploss,1993.6,2024,2024,28,-851,-913,-1.07,3.19,recorded
2026-06-12,ICICIGI,S,Y,exited at 15:15,1685,1721,1691,27,-162,-212,-0.22,4.3,recorded
2026-06-12,LT,L,Y,exited at 15:15,4002,3921,4048,12,552,499,0.51,4.46,recorded
2026-06-12,PNB,S,Y,exited at 15:15,105,108,106.89,333,-629,-668,-0.67,3.96,recorded
