Date,Armed,Filled,StopOuts,Exit1515,Gross,Net,Cumulative
2026-06-03,5,5,0,5,2485,2181,2181
2026-06-04,5,5,0,5,3658,3435,5616
2026-06-05,8,8,1,7,4558,4102,9718
2026-06-08,7,7,0,7,-95,-445,9273
2026-06-09,2,2,1,1,-776,-891,8382
2026-06-10,4,4,1,3,-1360,-1597,6785
2026-06-11,8,7,1,6,3102,2717,9502
2026-06-12,6,6,2,4,-2325,-2650,6852
